ID,SPEAKER,CONVERSATION,,ENGLISH,FRENCH,GERMAN,SPANISH,PTBR,RUSSIAN,JAPANESE,KOREAN,CHINESE (SIMPLIFIED),CHINESE (TRADITIONAL),CHINESE (SIMPLIFIED)
457,Gary,Acquiring Item,,Press [BTN_SHOOT2] to use it.,Appuie sur [BTN_SHOOT2] pour tirer.,"Drücke [BTN_SHOOT2], um sie einzusetzen.",Pulsa [BTN_SHOOT2] para usarlo.,Pressione [BTN_SHOOT2] para usá-lo.,"Нажми [BTN_SHOOT2], чтобы использовать ее.",使うには[BTN_SHOOT2]を押すんだ。,[BTN_SHOOT2] 버튼을 누르면 사용할 수 있어.,按[BTN_SHOOT2]就能使用了。,按[BTN_SHOOT2]就可以使用。,按[BTN_SHOOT2]就可以使用。
458,Gary,Acquiring Item,,Demolish bricks! Amplify your jump!,Tu peux détruire des briques ! Ou l'utiliser pour sauter plus haut !,Zerstöre Steine! Erhöhe deine Sprungweite!,¡Destroza los ladrillos! ¡Amplifica tu salto!,Destrua tijolos! Aumente seus saltos!,Разбивай блоки! Прыгай еще выше!,ブロックをぶっ壊せ！より高く ジャンプしろ！,벽돌 더미를 박살 내버려! 점프의 위력을 올려봐!,去打碎砖块！增强跳跃吧！,去打碎磚塊！強化跳躍！,去打碎砖块！强化跳跃！
459,Gary,Acquiring Item,,OVER AND OUT.,TERMINÉ.,ENDE UND AUS.,CAMBIO Y CORTO.,"CÂMBIO, DESLIGO.",КОНЕЦ СВЯЗИ.,通信を終了する。,통신 끝.,通话完毕。,完畢。,完毕。
460,UI / HUD,Acquiring Item,,KIKI GOT A SPIN JUMP MODULE.,KIKI A TROUVÉ UN MODULE DOUBLE SAUT.,KIKI HAT EIN DREHSPRUNGMODUL ERHALTEN.,KIKI TIENE UN MÓDULO DE SALTO GIRATORIO.,KIKI GANHOU UM MÓDULO DE SUPER SALTO.,НАЙДЕН МОДУЛЬ СУПЕРПРЫЖКА,キキは「スピンジャンプ」モジュールを手に入れた。,나비가 스핀 점프 모듈을 획득하였습니다.,琪琪获得了回旋跳模块。,琪琪獲得了螺旋彈跳組塊。,琪琪获得了螺旋弹跳组块。
461,Gary,Acquiring Item,,Kiki! You got the SPIN JUMP!!,Kiki ! Tu as trouvé le DOUBLE SAUT !,Kiki! Du hast das DREHSPRUNGMODUL!,¡Kiki! ¡Tienes el SALTO GIRATORIO!,Kiki! Você ganhou o SUPER SALTO!!!,Кики! Ты теперь можешь сделать СУПЕРПРЫЖОК!,キキ！スピンジャンプを手に入れたな！,나비야! 스핀 점프를 찾아냈구나!,琪琪！你获得了回旋跳！,琪琪！你解鎖了螺旋彈跳！,琪琪！你解锁了螺旋弹跳！
462,Gary,Acquiring Item,,Press [BTN_JUMP] in midair to cross gaps and harm enemies!,Appuie sur [BTN_JUMP] en l'air pour sauter plus loin et attaquer tes ennemis !,"Drücke in der Luft [BTN_JUMP], um Lücken zu überwinden und Gegnern Schaden zuzufügen!",¡Pulsa [BTN_JUMP] en el aire para salvar huecos y dañar a los enemigos!,Pressione [BTN_JUMP] no ar para saltar sobre buracos e causar dano aos inimigos!,"Нажми [BTN_JUMP] в воздухе, чтобы ранить врага!",空中で[BTN_JUMP]を押して穴を飛び越え、 敵に体あたりしろ！,"공중에서 [BTN_JUMP] 버튼을 눌러 허공을 가로지르고, 적들을 공격할 수도 있어!",在半空中按[BTN_JUMP]就能穿过缺口，并对敌人造成伤害！,在半空中按[BTN_JUMP]就可以穿過缺口，攻擊敵人！,在半空中按[BTN_JUMP]就可以穿过缺口，攻击敌人！
463,Gary,Acquiring Item,,"Man, you're really powering this suit up...",Ta combinaison commence à avoir fière allure...,Du motzt diesen Anzug richtig auf ...,"Caray, estás potenciando mucho el traje...",Agora o seu traje está muito mais poderoso!,"Слушай, а ты уже прилично костюм усилила...",まったく、どんどん強くなっていくな...,슈트의 위력이 점점 발전하는구나...,天啊，你这衣服真是威力大增啊……,天啊，你這太空衣真是威力大增啊......,天啊，你这宇航服真是威力大增啊......
464,Gary,Acquiring Item,,OVER AND OUT.,TERMINÉ.,ENDE UND AUS.,CAMBIO Y CORTO.,"CÂMBIO, DESLIGO.",КОНЕЦ СВЯЗИ.,通信を終了する。,통신 끝.,通话完毕。,完畢。,完毕。
465,UI / HUD,Acquiring Item,,KIKI GOT A HEALTHKIT MODULE.,KIKI A TROUVÉ UNE TROUSSE DE SOINS.,KIKI HAT EIN NRG-KIT ERHALTEN.,KIKI TIENE UN MÓDULO DE BOTIQUÍN.,KIKI GANHOU UM MÓDULO DE REFORÇO VITAL.,НАЙДЕН МОДУЛЬ ПРОЧНОСТИ.,キキは「ヘルスキット」モジュールを手に入れた。,나비가 헬스키트를 획득하였습니다.,琪琪获得了医疗模块。,琪琪獲得了醫療組塊。,琪琪获得了医疗组块。
466,Gary,Acquiring Item,,Kiki! You got a HEALTHKIT!!,Kiki ! Tu as trouvé une TROUSSE DE SOINS !,Kiki! Du hast ein NRG-KIT gefunden!,¡Kiki! ¡Tienes un BOTIQUÍN!,Kiki! Você ganhou um REFORÇO VITAL!!!,Кики! Ты нашла МОДУЛЬ ПРОЧНОСТИ!,キキ！ヘルスキットを手に入れたな！！,나비야! 헬스키트를 찾아냈구나!,琪琪！你获得了医疗器！,琪琪！你得到了個醫療箱！！,琪琪！你得到了个医疗箱！！
467,Gary,Acquiring Item,,"Maximum HP has increased! Good work, Kiki!","Ta santé maximale a augmenté ! Bien joué, Kiki !","Maximale NRG wurde erhöht! Gute Arbeit, Kiki!","¡Tu salud máxima ha aumentado! ¡Buen trabajo, Kiki!","Sua vida máxima aumentou! Bom trabalho, Kiki!","Теперь костюм сложнее сломать! Умница, Кики!",最大HPが上昇したぞ！ よくやった、キキ！,"최대 최력이 증가했어! 아주 잘했어, 나비야!",最大生命值提升了！干得漂亮，琪琪！,最大生命值上升了！做得漂亮，琪琪！,最大生命值上升了！干得漂亮，琪琪！
468,UI / HUD,Acquiring Item,,KIKI GOT A PHASE MODULE.,KIKI A TROUVÉ UN MODULE DÉPHASEUR.,KIKI HAT EIN PHASENSCHUBMODUL ERHALTEN.,KIKI TIENE UN MÓDULO DE SPRINT.,KIKI GANHOU UM MÓDULO DE ARREMETIDA.,НАЙДЕН ВАРП-МОДУЛЬ.,キキは「フェイズ」モジュールを 手に入れた。,나비가 페이즈 모듈을 획득하였습니다.,琪琪获得了相位移动模块。,琪琪獲得了相位移動組塊。,琪琪获得了相位移动组块。
469,Gary,Acquiring Item,,Kiki! You got the PHASE MODULE!,Kiki ! Tu as trouvé le DÉPHASEUR !,Kiki! Du hast das PHASENSCHUBMODUL!,¡Kiki! ¡Tienes el MÓDULO DE SPRINT!,Kiki! Você ganhou o MÓDULO DE ARREMETIDA!,Кики! Ты нашла ВАРП-МОДУЛЬ!,キキ！フェイズモジュールを 手に入れたな！！,나비야! 페이즈 모듈을 찾아냈구나!,琪琪！你获得了相位移动！,琪琪！你解鎖了相位移動！,琪琪！你解锁了相位移动！
470,Gary,Acquiring Item,,Press [BTN_DASH] to use it.,Appuie sur [BTN_DASH] pour l'utiliser.,"Drücke [BTN_DASH], um es einzusetzen.",Pulsa [BTN_DASH] para usarlo.,Pressione [BTN_DASH] para usá-lo.,"Нажми [BTN_DASH], чтобы использовать его.",使うには[BTN_DASH]を押すんだ。,[BTN_DASH] 버튼을 누르면 사용할 수 있어.,按[BTN_DASH]来使用。,按[BTN_DASH]就可以使用。,按[BTN_DASH]就可以使用。
471,Gary,Acquiring Item,,ZIP past obstacles and ZAP through barriers!!,Tu peux franchir des obstacles et des barrières !,ZISCHE an Hindernissen vorbei und RAUSCHE durch Barrieren hindurch!,¡Supera los obstáculos y atraviesa las barreras!,Atravesse obstáculos e barreiras como se você fosse imaterial!,Теперь ты можешь телепортироваться за препятствия и через стены!,障害物やバリアを突き抜けられるぞ！！,장애물을 뚫고 팍! 장벽을 뚫고 팍!!,穿闪过所有障碍和屏障吧！,衝刺穿過所有障礙物吧！,冲刺穿过所有障碍物吧！
472,Gary,Acquiring Item,,Absolutely dashing!,C'est génial !,Damit wirst du zur Flitzekatze!,¡Es un auténtico desfase!,Incrível!,Вот это да!,無敵のダッシュを見せてやれ！,한 마디로 대시하는 거야!,绝对能给你带来冲击体验！,超級帥的！,亮相绝对酷炫！
473,UI / HUD,Acquiring Item,,KIKI GOT A COOLANT MODULE.,KIKI A TROUVÉ UN MODULE RÉFRIGÉRANT.,KIKI HAT EIN KÜHLMITTELMODUL ERHALTEN.,KIKI TIENE UN MÓDULO REFRIGERANTE.,KIKI GANHOU UM MÓDULO DE RESFRIADOR.,НАЙДЕН ОХЛАЖДАЮЩИЙ МОДУЛЬ,キキは「クーラント」モジュールを 手に入れた。,나비가 냉각 모듈을 획득하였습니다,琪琪获得了冷却器模组。,琪琪獲得了冷卻組塊。,琪琪获得了冷却组块。
474,Gary,Acquiring Item,,Kiki! You got the COOLANT!!,Kiki ! Tu as trouvé le FLUIDE RÉFRIGÉRANT !,Kiki! Du hast das KÜHLMITTEL!,¡Kiki! ¡Tienes el REFRIGERANTE!,Kiki! Você ganhou o RESFRIADOR!,Кики! Ты нашла ОХЛАЖДАЮЩИЙ МОДУЛЬ!,キキ！クーラントを手に入れたな！！,나비야! 냉각 모듈을 찾아냈구나!,琪琪！你获得了冷却器！！,琪琪！你獲得了冷卻器！！,琪琪！你获得了冷却仪！！
475,Gary,Acquiring Item,,Now you can shoot three rockets before overheating!,Tu vas pouvoir tirer trois roquettes avant de surchauffer !,"Jetzt kannst du drei Raketen abfeuern, bevor du überhitzt.",¡Ahora puedes disparar tres cohetes antes de sobrecalentarte!,Agora você pode disparar três foguetes antes de superaquecer!,Теперь до перегрева можно выстрелить целых три ракеты!,これでオーバーヒートするまでに、 ロケットを3発撃てるようになった！,이제 과열되기 전에 로켓을 세 발 발사할 수 있어!,现在你能在过热前射出三发火箭弹了！,現在在火箭炮過熱之前能發射三枚火箭彈了！,现在在火箭炮过热之前能发射三枚火箭弹了！
476,Gary,Acquiring Item,,YEAH.,COOL !,YEAH.,GENIAL.,Que máximo!,О ДА.,ああ、わかるよ。,좋지?,耶！,太好了！,太好了！
477,UI / HUD,Acquiring Item,,KIKI GOT A HOPPER MODULE.,KIKI A TROUVÉ UN MODULE À RESSORTS.,KIKI HAT EIN HOPSMODUL ERHALTEN.,KIKI TIENE UN MÓDULO SALTARÍN.,KIKI GANHOU UM MÓDULO DE ULTRA SALTO.,НАЙДЕН ПРЫЖКОВЫЙ МОДУЛЬ,キキは「ホッパー」モジュールを 手に入れた。,나비가 호퍼 모듈을 획득하였습니다,琪琪获得了闪跳器模块。,琪琪獲得了跳躍組塊。,琪琪获得了跳跃组块。
478,Rebecca Brown,Acquiring Item,,Phasing now recharges your spin jump...,"Lorsque tu déphases, tu recharges ton double saut...",Durch die Verwendung des Phasenschubs lädst du jetzt deinen Drehsprung auf ...,"Ahora, el sprint recarga tu salto giratorio...",Agora as arremetidas recarregam seu super salto...,Варп-прыжок теперь заряжает суперпрыжок...,これでフェイズ中にスピンジャンプを リチャージできて...,이제 페이즈하면 스핀 점프를 재충전해...,现在你能在相位移动后再进行回旋跳……,現在相位移動可以為你的螺旋彈跳充能...,现在相位移动可以为你的螺旋弹跳充能...
479,Rebecca Brown,Acquiring Item,,"And, your spin jump does a little more damage!",Et tu vas pouvoir infliger encore plus de dégâts !,Dein Drehsprung verursacht zudem etwas mehr Schaden.,¡Y tu salto giratorio hace un poco más de daño!,"E, além disso, seu super salto causa mais dano!",А еще он наносит немного больше урона!,スピンアタックの威力もアップするわ！,덤으로 스핀 점프의 공격력도 오르고!,而且，你的回旋跳伤害也变高了些！,同時，你的螺旋彈跳的殺傷力高了一點！,同时，你的螺旋弹跳的杀伤力高了一点！
